Место;Название;Год;Режисер;Жанр
87;Звёздочки на земле;2007;Аамир Хан;драма
88;Бешеные псы;1992;Квентин Тарантино;детектив, триллер, мистический фильм
89;Умница Уилл Хантинг;1997;Гас Ван Сент;драма
90;Космическая одиссея 2001 года;1968;Стэнли Кубрик;научная фантастика, приключение, мистический фильм
91;Реквием по мечте;2000;Даррен Аронофски;драма
92;Головокружение;1958;Альфред Хичкок;детектив, мелодрама, мистический фильм
93;М;1931;Фриц Ланг;детектив, триллер
94;Вечное сияние чистого разума;2004;Мишель Гондри;драма, мелодрама, научная фантастика
95;Дангал;2016;Нитеш Тивари;боевик, биография, драма
96;Охота;2012;Томас Винтерберг;драма
97;Гражданин Кейн;1941;Орсон Уэллс;драма, мистический фильм
98;1917;2019;Сэм Мендес;драма, военный фильм
99;Цельнометаллическая оболочка;1987;Стэнли Кубрик;драма, военный фильм
100;Похитители велосипедов;1948;Витторио де Сика;детектив, драма
101;Малыш;1921;Чарли Чаплин;комедия, драма, семейный фильм
102;Поющие под дождём;1952;Стэнли Донен, Джин Келли;комедия, мюзикл
103;Заводной апельсин;1971;Стэнли Кубрик;научная фантастика, детектив, драма
104;К северу через северо-запад;1959;Альфред Хичкок;приключение, мистический фильм, драма
105;Большой куш;2000;Гай Ричи;детектив, триллер
106;Лицо со шрамом;1983;Брайан де Пальма;детектив, триллер, драма
107;Таксист;1976;Мартин Скорсезе;драма, триллер
108;Жить;1952;Акира Куросава;драма
109;Лоуренс Аравийский;1962;Дэвид Лин;приключение, драма, биография
110;Амели;2001;Жан-Пьер Жене;комедия, фэнтези, мелодрама
111;История игрушек: Большой побег;2010;Ли Анкрич;мультфильм, приключение, комедия
112;Афера;1973;Джордж Рой Хилл;комедия, детектив, драма
113;Метрополис;1927;Фриц Ланг;научная фантастика
114;Развод Надера и Симин;2011;Асгар Фархади;драма
115;Пожары;2010;Дени Вильнёв;драма
116;На несколько долларов больше;1965;Серджо Леоне;вестерн
117;Иди и смотри;1985;Элем Климов;драма, военный фильм
118;Квартира;1960;Билли Уайлдер;мелодрама, комедия, драма
119;Двойная страховка;1944;Билли Уайлдер;детектив, нуар, триллер
120;Убить пересмешника;1962;Роберт Маллиган;детектив, драма, мистический фильм
121;Вверх;2009;Пит Доктер;мультфильм, приключение, комедия
122;Индиана Джонс и последний крестовый поход;1989;Стивен Спилберг;приключение, боевик
123;Секреты Лос-Анджелеса;1997;Кёртис Хэнсон;детектив, драма, мистический фильм
124;Схватка;1995;Майкл Манн;детектив, триллер, драма
125;Крепкий орешек;1988;Джон Мактирнан;боевик, детектив, триллер
126;Монти Пайтон и Священный Грааль;1975;Терри Гиллиам, Терри Джонс;приключение, комедия
127;Расёмон;1950;Акира Куросава;драма
128;Телохранитель;1961;Акира Куросава;боевик, детектив, драма
129;Бэтмен: Начало;2005;Кристофер Нолан;боевик, детектив, драма
130;Зелёная книга;2018;Питер Фаррелли;биография, комедия, драма
131;Бункер;2004;Оливер Хиршбигель;биография, драма, исторический фильм
132;Дети небес;1997;Маджид Маджиди;драма, семейный фильм
133;Непрощённый;1992;Клинт Иствуд;драма, вестерн
134;Ран;1985;Акира Куросава;боевик, драма, военный фильм
135;В джазе только девушки;1959;Билли Уайлдер;комедия
136;Ходячий замок;2004;Хаяо Миядзаки;аниме, приключение, боевик
137;Игры разума;2001;Рон Ховард;драма, биография
138;Всё о Еве;1950;Джозеф Лео Манкевич;детектив, драма, мистический фильм
139;Казино;1995;Мартин Скорсезе;биография, детектив, драма
140;Большой побег;1963;Джон Стёрджес;приключение, драма, исторический фильм
141;Волк с Уолл-стрит;2013;Мартин Скорсезе;биография, комедия, детектив
142;Лабиринт фавна;2006;Гильермо дель Торо;фэнтези, драма, мистический фильм
143;Ананд;1971;Ришикеш Мукхерджи;драма, музыкальный фильм
144;Тайна в его глазах;2009;Хуан Хосе Кампанелья;драма, мистический фильм, мелодрама
145;Карты, деньги, два ствола;1998;Гай Ричи;детектив, триллер
146;Бешеный бык;1980;Мартин Скорсезе;драма, биография, фильм о спорте
147;Мой сосед Тоторо;1988;Хаяо Миядзаки;мультфильм, приключение, семейный фильм
148;Нефть;2007;Пол Томас Андерсон;драма
149;Нюрнбергский процесс;1961;Стэнли Крамер;драма, исторический фильм, военный фильм
150;Сокровища Сьерра-Мадре;1948;Джон Хьюстон;приключение, драма, вестерн
151;В случае убийства набирайте «М»;1954;Альфред Хичкок;детектив, триллер, мистический фильм
152;Три билборда на границе Эббинга, Миссури;2017;Мартин Макдонах;комедия, детектив, драма
153;Китайский квартал;1974;Роман Полански;детектив, драма, мистический фильм
154;Золотая лихорадка;1925;Чарли Чаплин;комедия, приключение, семейный фильм
155;Мой отец и мой сын;2005;Чаган Ырмак;драма
156;Остров проклятых;2010;Мартин Скорсезе;драма, триллер, мистический фильм
157;Старикам тут не место;2007;Братья Коэн;детектив, драма, мистический фильм
158;V — значит вендетта;2006;Джеймс Мактиг;боевик, научная фантастика, триллер
159;Седьмая печать;1957;Ингмар Бергман;драма, фэнтези
160;Головоломка;2015;Пит Доктер;мультфильм, комедия, драма
161;Воин;2011;Гэвин О’Коннор;боевик, драма
162;Человек-слон;1980;Дэвид Линч;биография, драма, исторический фильм
163;Нечто;1982;Джон Карпентер;научная фантастика, фильм ужасов, мистический фильм
164;Шестое чувство;1999;М. Найт Шьямалан;драма, мистический фильм, триллер
165;На игле;1996;Дэнни Бойл;детектив, драма
166;Парк юрского периода;1993;Стивен Спилберг;приключение, научная фантастика
167;Викрам Ведха;2017;Пушкар Гаятри;боевик, детектив, триллер
168;Унесённые ветром;1939;Виктор Флеминг;драма, мелодрама, военный фильм
169;Шоу Трумана;1998;Питер Уир;комедия, драма
170;Земляничная поляна;1957;Ингмар Бергман;драма
171;В поисках Немо;2003;Эндрю Стэнтон;мультфильм, приключение, комедия
